"Michael Fred Phelps, II",28,1
Larysa Semenivna Latynina (Diriy-),18,2
Nikolay Yefimovich Andrianov,15,3
Ole Einar Bjrndalen,13,4
Edoardo Mangiarotti,13,4
Takashi Ono,13,4
Borys Anfiyanovych Shakhlin,13,4
"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)",12,5
"Dara Grace Torres (-Hoffman, -Minas)",12,5
Ryan Steven Lochte,12,5
Natalie Anne Coughlin (-Hall),12,5
Birgit Fischer-Schmidt,12,5
Aleksey Yuryevich Nemov,12,5
Paavo Johannes Nurmi,12,5
Sawao Kato,12,5
Mark Andrew Spitz,11,6
"Matthew Nicholas ""Matt"" Biondi",11,6
Vra slavsk (-Odloilov),11,6
Viktor Ivanovych Chukarin,11,6
Carl Townsend Osburn,11,6
Aleksandr Vladimirovich Popov,11,6
Akinori Nakayama,10,7
Vitaly Venediktovich Shcherbo,10,7
Raisa Petrovna Smetanina,10,7
Franziska van Almsick,10,7
"Frederick Carlton ""Carl"" Lewis",10,7
"Gary Wayne Hall, Jr.",10,7
gnes Keleti-Srkny (Klein),10,7
Polina Hryhorivna Astakhova,10,7
Stefania Belmondo,10,7
Marit Bjrgen,10,7
Aleksandr Nikolayevich Dityatin,10,7
"Raymond Clarence ""Ray"" Ewry",10,7
Aladr Gerevich (-Gerei),10,7
Gerard Theodor Hubert Van Innis,10,7
Isabelle Regina Werth,10,7
Yang Yang,10,7
"Theodora Elisabeth Gerarda ""Anky"" van Grunsven",9,8
Maria Valentina Vezzali,9,8
Zoltn Imre dn von Halmay,9,8
Mikhail Yakovlevich Voronin,9,8
Lyubov Ivanovna Yegorova,9,8
Merlene Joyce Ottey-Page,9,8
Claudia Pechstein,9,8
Heikki Ilmari Savolainen,9,8
Martin Joseph Sheridan,9,8
"Alfred Gomer Albert ""Alf"" Swahn",9,8
Ian James Thorpe,9,8
Yury Yevlampiyevich Titov,9,8
Mitsuo Tsukahara,9,8
Lyudmila Ivanovna Turishcheva (-Borzova),9,8
"Ursula ""Uschi"" Disl",9,8
Allyson Michelle Felix,9,8
Giulio Gaudini,9,8
Edy Sixten Jernberg,9,8
Leisel Marie Jones,9,8
Eizo Kenmotsu,9,8
Shirley Frances Babashoff,9,8
Nadia Elena Comneci (-Conner),9,8
Kjetil Andr Aamodt,8,9
Nathan Ghar-Jun Adrian,8,9
Viktor An,8,9
Usain St. Leo Bolt,8,9
Veronica Angella Campbell-Brown,8,9
Gustaf Vilhelm Carlberg,8,9
Philippe Louis Eugne Cattiau,8,9
Sofiya Ivanovna Muratova (Poduzdova-),8,9
Gunda Niemann-Stirnemann-Kleemann,8,9
Apolo Anton Ohno,8,9
Elisabeta Oleniuc-Lip,8,9
Otto Martin Olsen,8,9
"Susan ""Susie"" O'Neill",8,9
"Viljo Eino ""Ville"" Ritola (Koukkari-)",8,9
Galina Alekseyevna Kulakova,8,9
Jason Edward Lezak,8,9
Eugen Mack,8,9
Roland Matthes,8,9
"Georg ""Georges"" Miez",8,9
Bradley Marc Wiggins,8,9
"Irene Karlijn ""Ireen"" Wst",8,9
Ricco Gro,8,9
Reiner Klimke,8,9
"Margit Korondi (Kronstein-, -Plachy, -Szalay)",8,9
Katalin Kovcs,8,9
Dmitry Ivanovich Sautin,8,9
Allison Rodgers Schmitt,8,9
"Donald Arthur ""Don"" Schollander",8,9
Henry Taylor,8,9
Petria Ann Thomas (-Jones),8,9
Giovanna Trillini,8,9
"Charles Meldrum ""Charlie"" Daniels",8,9
Inge de Bruijn,8,9
Roger Franois Ducret,8,9
"Kornelia Ender (-Matthes, -Grummt)",8,9
"Karin Enke-Kania (-Busch-, -Richter)",8,9
Sven Fischer,8,9
Dawn Lorraine Fraser,8,9
Gert Fridolf Fredriksson,8,9
Kirsty Leigh Coventry (-Seward),7,10
Manuela Di Centa,7,10
Krisztina Egerszegi,7,10
Andrea Ehrig-Schne-Mitscherlich,7,10
Yukio Endo,7,10
Felix Gottwald,7,10
Sven Kramer,7,10
Larisa Yevgenyevna Lazutina (Ptitsyna-),7,10
Pavel Serafimovich Lednyov,7,10
"Willis Augustus Lee, Jr.",7,10
Eric Otto Valdemar Lemming,7,10
"Lisbeth Constance ""Libby"" Lenton-Trickett",7,10
Einar Liberg,7,10
Eero Antero Mntyranta,7,10
Gustavo Marzi,7,10
"Shannon Lee Miller (-Phillips, -Falconetti)",7,10
Lon Ernest Moreaux,7,10
Simona Amnar (-Tabr),7,10
Agneta Monica Andersson,7,10
Ivar Eugen Ballangrud (Eriksen-),7,10
Amanda Ray Beard (-Brown),7,10
Bogdan Musiol,7,10
Aliya Farkhatovna Mustafina,7,10
Ivan Patzaichin,7,10
Aaron Wells Peirsol,7,10
Ildik Rejt-Ujlaky-Sgi,7,10
Vladimir Mikhaylovich Smirnov,7,10
Lloyd Spencer Spooner,7,10
"Josef ""Sepp"" Stalder",7,10
Shirley Barbara Strickland de la Hunty,7,10
Irena Szewiska-Kirszenstein,7,10
Masao Takemoto,7,10
Arnold Clas Robert Thunberg,7,10
Kohei Uchimura,7,10
Yelena Valeryevna Vlbe (Trubitsyna-),7,10
Pieter Cornelis Martijn van den Hoogenband,7,10
Dana Whitney Vollmer (-Grant),7,10
"Katarina ""Kati"" Wilhelm",7,10
Hans Gnter Winkler,7,10
Wu Minxia,7,10
Yang Wei,7,10
Grant George Hackett,7,10
Veikko Johannes Hakulinen,7,10
Dagmar Hase,7,10
Albert Helgerud (Thorvaldsen-),7,10
Mariya Kindrativna Horokhovska,7,10
"Christopher Andrew ""Chris"" Hoy",7,10
"Thomas Michael ""Tom"" Jager",7,10
Karin Janz (-Bttner),7,10
Jason Francis Kenny,7,10
Svetlana Vasilyevna Khorkina,7,10
Marja-Liisa Kirvesniemi-Hmlinen,7,10
Kosuke Kitajima,7,10
Pl dm Kovcs,7,10
